area,rank_gs,title,rate_gs,rank_pc,rate_pc,rank_ss,rate_ss,rate,rank,new_rank
3D Reconstruction,51.0,killingfusion: non-rigid 3d reconstruction without correspondences,4.0,201.0,1.0,24.0,5.0,3.1,102.9,21
3D Reconstruction,66.0,real-time large-scale dense 3d reconstruction with loop closure,4.0,201.0,1.0,36.0,5.0,3.1,111.0,22
3D Reconstruction,201.0,3d-lmnet: latent embedding matching for accurate and diverse 3d point cloud reconstruction from a single image,1.0,88.0,4.0,67.0,4.0,3.1,115.6,23
3D Reconstruction,201.0,learning free-form deformations for 3d object reconstruction,1.0,100.0,4.0,76.0,4.0,3.1,123.1,24
3D Reconstruction,1.0,stereoscan: dense 3d reconstruction in real-time,5.0,201.0,1.0,54.0,4.0,3.0999999999999996,96.9,25
3D Reconstruction,5.0,multi-image 3d reconstruction data evaluation,5.0,201.0,1.0,53.0,4.0,3.0999999999999996,97.80000000000001,26
3D Reconstruction,59.0,deep local shapes: learning local sdf priors for detailed 3d reconstruction,4.0,55.0,4.0,201.0,1.0,3.0999999999999996,100.0,27
3D Reconstruction,34.0,orbslam-based endoscope tracking and 3d reconstruction,5.0,201.0,1.0,41.0,4.0,3.0999999999999996,102.9,28
3D Reconstruction,10.0,3d reconstruction from accidental motion,5.0,201.0,1.0,75.0,4.0,3.0999999999999996,105.9,29
3D Reconstruction,29.0,3d modeling on the go: interactive 3d reconstruction of large-scale scenes on mobile devices,5.0,201.0,1.0,59.0,4.0,3.0999999999999996,106.80000000000001,30
3D Reconstruction,27.0,optical sensors and methods for underwater 3d reconstruction,5.0,201.0,1.0,62.0,4.0,3.0999999999999996,107.1,31
3D Reconstruction,32.0,structured light-based 3d reconstruction system for plants,5.0,201.0,1.0,61.0,4.0,3.0999999999999996,108.3,32
3D Reconstruction,23.0,real-time 3d reconstruction in dynamic scenes using point-based fusion,5.0,201.0,1.0,70.0,4.0,3.0999999999999996,108.30000000000001,33
3D Reconstruction,37.0,3d reconstruction of small sized objects from a sequence of multi-focused images,5.0,201.0,1.0,81.0,4.0,3.0999999999999996,115.8,34
3D Reconstruction,109.0,"learning single-image 3d reconstruction by generative modelling of shape, pose and shading",3.0,42.0,4.0,201.0,1.0,2.8,109.8,35
3D Reconstruction,47.0,"automated as-built 3d reconstruction of civil infrastructure using computer vision: achievements, opportunities, and challenges",4.0,201.0,1.0,58.0,4.0,2.8,111.9,36
3D Reconstruction,43.0,from single image query to detailed 3d reconstruction,4.0,201.0,1.0,78.0,4.0,2.8,116.70000000000002,37
3D Reconstruction,115.0,kinectfusion: real-time 3d reconstruction and interaction using a moving depth camera,3.0,201.0,1.0,10.0,5.0,2.8,117.9,38
3D Reconstruction,75.0,a symmetry prior for convex variational 3d reconstruction,4.0,201.0,1.0,50.0,4.0,2.8,117.9,39
3D Reconstruction,19.0,modeling kinect sensor noise for improved 3d reconstruction and tracking,5.0,201.0,1.0,108.0,3.0,2.8,118.5,40
3D Reconstruction,22.0,multiview 3d reconstruction in geosciences,5.0,201.0,1.0,117.0,3.0,2.8,122.1,41
3D Reconstruction,53.0,descriptor-based methodology for statistical characterization and 3d reconstruction of microstructural materials,4.0,201.0,1.0,91.0,4.0,2.8,123.60000000000001,42
3D Reconstruction,35.0,performance evaluation of a multi-image 3d reconstruction software on a low-feature artefact,5.0,201.0,1.0,111.0,3.0,2.8,124.2,43
3D Reconstruction,116.0,"recognition, location, measurement, and 3d reconstruction of concealed cracks using convolutional neural networks",3.0,201.0,1.0,33.0,5.0,2.8,125.10000000000001,44
3D Reconstruction,201.0,deepvoxels: learning persistent 3d feature embeddings,1.0,65.0,4.0,140.0,3.0,2.8,128.3,45
3D Reconstruction,72.0,3d reconstruction of as-built industrial instrumentation models from laser-scan data and a 3d cad database based on prior knowledge,4.0,201.0,1.0,88.0,4.0,2.8,128.4,46
3D Reconstruction,82.0,omnidirectional 3d reconstruction in augmented manhattan worlds,4.0,201.0,1.0,86.0,4.0,2.8,130.8,47
3D Reconstruction,80.0,video pop-up: monocular 3d reconstruction of dynamic scenes,4.0,201.0,1.0,90.0,4.0,2.8,131.4,48
3D Reconstruction,20.0,online 3d reconstruction using convex optimization,5.0,201.0,1.0,152.0,3.0,2.8,132.0,49
3D Reconstruction,201.0,sdfdiff: differentiable rendering of signed distance fields for 3d shape optimization,1.0,78.0,4.0,137.0,3.0,2.8,132.6,50
3D Reconstruction,139.0,large-scale semantic 3d reconstruction: an adaptive multi-resolution model for multi-class volumetric labeling,3.0,201.0,1.0,37.0,5.0,2.8,133.2,51
3D Reconstruction,157.0,learning priors for semantic 3d reconstruction,3.0,201.0,1.0,26.0,5.0,2.8,135.3,52
3D Reconstruction,14.0,from 3d reconstruction to virtual reality: a complete methodology for digital archaeological exhibition,5.0,201.0,1.0,172.0,3.0,2.8,136.20000000000002,53
3D Reconstruction,25.0,3d reconstruction of histological sections: application to mammary gland tissue,5.0,201.0,1.0,166.0,3.0,2.8,137.7,54
3D Reconstruction,13.0,3d reconstruction of underwater structures,5.0,201.0,1.0,184.0,3.0,2.8,139.5,55
3D Reconstruction,11.0,3d reconstruction using an n-layer heightmap,5.0,201.0,1.0,187.0,3.0,2.8,139.8,56
3D Reconstruction,199.0,mixed reality remote collaboration combining 360 video and 3d reconstruction,3.0,201.0,1.0,7.0,5.0,2.8,142.2,57
3D Reconstruction,169.0,im2avatar: colorful 3d reconstruction from a single image,3.0,82.0,4.0,201.0,1.0,2.8,143.8,58
3D Reconstruction,201.0,structure-from-motion revisited,1.0,1.0,5.0,201.0,1.0,2.5999999999999996,121.0,59
3D Reconstruction,201.0,large-scale 3d shape reconstruction and segmentation from shapenet core55,1.0,2.0,5.0,201.0,1.0,2.5999999999999996,121.39999999999999,60
3D Reconstruction,201.0,atlas: end-to-end 3d scene reconstruction from posed images,1.0,3.0,5.0,201.0,1.0,2.5999999999999996,121.8,61
3D Reconstruction,201.0,kimera: from slam to spatial perception with 3d dynamic scene graphs,1.0,6.0,5.0,201.0,1.0,2.5999999999999996,123.0,62
3D Reconstruction,201.0,"3d dynamic scene graphs: actionable spatial perception with places, objects, and humans",1.0,7.0,5.0,201.0,1.0,2.5999999999999996,123.39999999999999,63
3D Reconstruction,201.0,kimera: an open-source library for real-time metric-semantic localization and mapping,1.0,8.0,5.0,201.0,1.0,2.5999999999999996,123.8,64
3D Reconstruction,201.0,incremental visual-inertial 3d mesh generation with structural regularities,1.0,9.0,5.0,201.0,1.0,2.5999999999999996,124.19999999999999,65
3D Reconstruction,201.0,"expressive body capture: 3d hands, face, and body from a single image",1.0,10.0,5.0,201.0,1.0,2.5999999999999996,124.6,66
3D Reconstruction,201.0,superhuman accuracy on the snemi3d connectomics challenge,1.0,11.0,5.0,201.0,1.0,2.5999999999999996,125.0,67
3D Reconstruction,201.0,unpaired motion style transfer from video to animation,1.0,12.0,5.0,201.0,1.0,2.5999999999999996,125.39999999999999,68
3D Reconstruction,201.0,deepsdf: learning continuous signed distance functions for shape representation,1.0,13.0,5.0,201.0,1.0,2.5999999999999996,125.8,69
3D Reconstruction,201.0,learning continuous image representation with local implicit image function,1.0,14.0,5.0,201.0,1.0,2.5999999999999996,126.19999999999999,70
3D Reconstruction,201.0,learning implicit surface light fields,1.0,15.0,5.0,201.0,1.0,2.5999999999999996,126.6,71
3D Reconstruction,201.0,convolutional occupancy networks,1.0,16.0,5.0,201.0,1.0,2.5999999999999996,127.0,72
3D Reconstruction,201.0,neuralrecon: real-time coherent 3d reconstruction from monocular video,1.0,19.0,5.0,201.0,1.0,2.5999999999999996,128.2,73
3D Reconstruction,201.0,3dmatch: learning local geometric descriptors from rgb-d reconstructions,1.0,20.0,5.0,201.0,1.0,2.5999999999999996,128.6,74
3D Reconstruction,201.0,geo-supervised visual depth prediction,1.0,21.0,5.0,201.0,1.0,2.5999999999999996,129.0,75
3D Reconstruction,201.0,pixelnerf: neural radiance fields from one or few images,1.0,22.0,5.0,201.0,1.0,2.5999999999999996,129.39999999999998,76
3D Reconstruction,201.0,d2-net: a trainable cnn for joint description and detection of local features,1.0,23.0,5.0,201.0,1.0,2.5999999999999996,129.8,77
3D Reconstruction,201.0,d2-net: a trainable cnn for joint detection and description of local features,1.0,24.0,5.0,201.0,1.0,2.5999999999999996,130.2,78
3D Reconstruction,201.0,on learning 3d face morphable model from in-the-wild images,1.0,26.0,5.0,201.0,1.0,2.5999999999999996,131.0,79
3D Reconstruction,201.0,nonlinear 3d face morphable model,1.0,27.0,5.0,201.0,1.0,2.5999999999999996,131.39999999999998,80
3D Reconstruction,201.0,common objects in 3d: large-scale learning and evaluation of real-life 3d category reconstruction,1.0,29.0,5.0,201.0,1.0,2.5999999999999996,132.2,81
3D Reconstruction,201.0,pix3d: dataset and methods for single-image 3d shape modeling,1.0,31.0,5.0,201.0,1.0,2.5999999999999996,133.0,82
3D Reconstruction,201.0,planercnn: 3d plane detection and reconstruction from a single image,1.0,33.0,5.0,201.0,1.0,2.5999999999999996,133.8,83
3D Reconstruction,201.0,pixel-perfect structure-from-motion with featuremetric refinement,1.0,34.0,5.0,201.0,1.0,2.5999999999999996,134.2,84
3D Reconstruction,201.0,graph-based parallel large scale structure from motion,1.0,37.0,5.0,201.0,1.0,2.5999999999999996,135.39999999999998,85
3D Reconstruction,201.0,learning character-agnostic motion for motion retargeting in 2d,1.0,38.0,5.0,201.0,1.0,2.5999999999999996,135.8,86
3D Reconstruction,201.0,scan2cad: learning cad model alignment in rgb-d scans,1.0,39.0,5.0,201.0,1.0,2.5999999999999996,136.2,87
3D Reconstruction,201.0,single-image piece-wise planar 3d reconstruction via associative embedding,1.0,40.0,5.0,201.0,1.0,2.5999999999999996,136.6,88
3D Reconstruction,114.0,point cloud noise and outlier removal for image-based 3d reconstruction,3.0,201.0,1.0,42.0,4.0,2.5,127.19999999999999,89
3D Reconstruction,108.0,refractive 3d reconstruction on underwater images,3.0,201.0,1.0,57.0,4.0,2.5,129.9,90
3D Reconstruction,124.0,image-based 3d reconstruction for posthurricane residential building damage assessment,3.0,201.0,1.0,47.0,4.0,2.5,131.7,91
3D Reconstruction,87.0,3d reconstruction of multiple stained histology images,4.0,201.0,1.0,112.0,3.0,2.5,140.1,92
3D Reconstruction,70.0,a role of three-dimensional (3d)-reconstruction in the classification of lung adenocarcinoma,4.0,201.0,1.0,132.0,3.0,2.5,141.0,93
3D Reconstruction,105.0,improving sparse 3d models for man-made environments using line-based 3d reconstruction,3.0,201.0,1.0,97.0,4.0,2.5,141.0,94
3D Reconstruction,46.0,the perivascular astroglial sheath provides a complete covering of the brain microvessels: an electron microscopic 3d reconstruction,4.0,201.0,1.0,162.0,3.0,2.5,142.8,95
3D Reconstruction,159.0,a laser line auto-scanning system for underwater 3d reconstruction,3.0,201.0,1.0,56.0,4.0,2.5,144.9,96
3D Reconstruction,100.0,skeleton-based 3d reconstruction of as-built pipelines from laser-scan data,4.0,201.0,1.0,120.0,3.0,2.5,146.4,97
3D Reconstruction,88.0,fast and robust laser stripe extraction for 3d reconstruction in industrial environments,4.0,201.0,1.0,181.0,3.0,2.5,161.10000000000002,98
3D Reconstruction,178.0,piecewise‐planar 3d reconstruction with edge and corner regularization,3.0,201.0,1.0,95.0,4.0,2.5,162.3,99
3D Reconstruction,201.0,3d object reconstruction from hand-object interactions,1.0,155.0,3.0,149.0,3.0,2.4000000000000004,167.0,100
3D Reconstruction,125.0,learning single-view 3d reconstruction with limited pose supervision,3.0,113.0,3.0,201.0,1.0,2.4,143.0,101
3D Reconstruction,111.0,carfusion: combining point tracking and part detection for dynamic 3d reconstruction of vehicles,3.0,160.0,3.0,201.0,1.0,2.4,157.6,102
3D Reconstruction,127.0,road surface 3d reconstruction based on dense subpixel disparity map estimation,3.0,175.0,3.0,201.0,1.0,2.4,168.39999999999998,103
3D Reconstruction,172.0,amodal 3d reconstruction for robotic manipulation via stability and connectivity,3.0,159.0,3.0,201.0,1.0,2.4,175.5,104
3D Reconstruction,201.0,learning implicit fields for generative shape modeling,1.0,41.0,4.0,201.0,1.0,2.2,137.0,105
3D Reconstruction,201.0,multiview neural surface reconstruction by disentangling geometry and appearance,1.0,43.0,4.0,201.0,1.0,2.2,137.8,106
3D Reconstruction,201.0,labelfusion: a pipeline for generating ground truth labels for real rgbd data of cluttered scenes,1.0,44.0,4.0,201.0,1.0,2.2,138.2,107
3D Reconstruction,201.0,blendedmvs: a large-scale dataset for generalized multi-view stereo networks,1.0,46.0,4.0,201.0,1.0,2.2,139.0,108
3D Reconstruction,201.0,coherent reconstruction of multiple humans from a single image,1.0,47.0,4.0,201.0,1.0,2.2,139.39999999999998,109
3D Reconstruction,201.0,pcrnet: point cloud registration network using pointnet encoding,1.0,48.0,4.0,201.0,1.0,2.2,139.8,110
3D Reconstruction,201.0,neural rgb->d sensing: depth and uncertainty from a video camera,1.0,49.0,4.0,201.0,1.0,2.2,140.2,111
3D Reconstruction,201.0,an efficient sampling-based method for online informative path planning in unknown environments,1.0,50.0,4.0,201.0,1.0,2.2,140.6,112
3D Reconstruction,201.0,learning a multi-view stereo machine,1.0,51.0,4.0,201.0,1.0,2.2,141.0,113
3D Reconstruction,201.0,event-based stereo visual odometry,1.0,52.0,4.0,201.0,1.0,2.2,141.39999999999998,114
3D Reconstruction,201.0,bundlefusion: real-time globally consistent 3d reconstruction using on-the-fly surface re-integration,1.0,201.0,1.0,4.0,5.0,2.2,141.89999999999998,115
3D Reconstruction,201.0,aslfeat: learning local features of accurate shape and localization,1.0,54.0,4.0,201.0,1.0,2.2,142.2,116
3D Reconstruction,201.0,pdc-net+: enhanced probabilistic dense correspondence network,1.0,56.0,4.0,201.0,1.0,2.2,143.0,117
3D Reconstruction,201.0,real-time 3d reconstruction from single-photon lidar data using plug-and-play point cloud denoisers,1.0,201.0,1.0,8.0,5.0,2.2,143.1,118
3D Reconstruction,201.0,learning accurate dense correspondences and when to trust them,1.0,57.0,4.0,201.0,1.0,2.2,143.39999999999998,119
3D Reconstruction,201.0,joint 3d face reconstruction and dense alignment with position map regression network,1.0,201.0,1.0,11.0,5.0,2.2,144.0,120
3D Reconstruction,201.0,photometric mesh optimization for video-aligned 3d object reconstruction,1.0,59.0,4.0,201.0,1.0,2.2,144.2,121
3D Reconstruction,201.0,accurate 3d face reconstruction with weakly-supervised learning: from single image to image set,1.0,201.0,1.0,12.0,5.0,2.2,144.29999999999998,122
3D Reconstruction,201.0,pu-gan: a point cloud upsampling adversarial network,1.0,60.0,4.0,201.0,1.0,2.2,144.6,123
3D Reconstruction,201.0,state of the art on 3d reconstruction with rgb‐d cameras,1.0,201.0,1.0,13.0,5.0,2.2,144.6,124
3D Reconstruction,201.0,holopose: holistic 3d human reconstruction in-the-wild,1.0,201.0,1.0,14.0,5.0,2.2,144.89999999999998,125
3D Reconstruction,201.0,from handcrafted to deep local features,1.0,61.0,4.0,201.0,1.0,2.2,145.0,126
3D Reconstruction,201.0,soft 3d reconstruction for view synthesis,1.0,201.0,1.0,17.0,5.0,2.2,145.79999999999998,127
3D Reconstruction,201.0,geodesc: learning local descriptors by integrating geometry constraints,1.0,63.0,4.0,201.0,1.0,2.2,145.8,128
3D Reconstruction,201.0,deepcalib: a deep learning approach for automatic intrinsic calibration of wide field-of-view cameras,1.0,64.0,4.0,201.0,1.0,2.2,146.2,129
3D Reconstruction,201.0,monocular 3d object detection leveraging accurate proposals and shape reconstruction,1.0,201.0,1.0,19.0,5.0,2.2,146.39999999999998,130
3D Reconstruction,201.0,ganfit: generative adversarial network fitting for high fidelity 3d face reconstruction,1.0,201.0,1.0,20.0,5.0,2.2,146.7,131
3D Reconstruction,201.0,bsp-net: generating compact meshes via binary space partitioning,1.0,66.0,4.0,201.0,1.0,2.2,147.0,132
3D Reconstruction,201.0,deephuman: 3d human reconstruction from a single image,1.0,201.0,1.0,21.0,5.0,2.2,147.0,133
3D Reconstruction,201.0,texture mapping for 3d reconstruction with rgb-d sensor,1.0,201.0,1.0,22.0,5.0,2.2,147.29999999999998,134
3D Reconstruction,201.0,smplicit: topology-aware generative model for clothed people,1.0,67.0,4.0,201.0,1.0,2.2,147.39999999999998,135
3D Reconstruction,201.0,"a benchmark for rgb-d visual odometry, 3d reconstruction and slam",1.0,201.0,1.0,23.0,5.0,2.2,147.6,136
3D Reconstruction,201.0,fast and robust iterative closest point,1.0,68.0,4.0,201.0,1.0,2.2,147.8,137
3D Reconstruction,201.0,learning 3d human shape and pose from dense body parts,1.0,69.0,4.0,201.0,1.0,2.2,148.2,138
3D Reconstruction,201.0,real-time 3d reconstruction and 6-dof tracking with an event camera,1.0,201.0,1.0,25.0,5.0,2.2,148.2,139
3D Reconstruction,201.0,stochastic bundle adjustment for efficient and scalable 3d reconstruction,1.0,70.0,4.0,201.0,1.0,2.2,148.6,140
3D Reconstruction,201.0,ray calibration and phase mapping for structured-light-field 3d reconstruction.,1.0,201.0,1.0,27.0,5.0,2.2,148.79999999999998,141
3D Reconstruction,201.0,robust learning through cross-task consistency,1.0,71.0,4.0,201.0,1.0,2.2,149.0,142
3D Reconstruction,201.0,robust learning through cross-task consistency,1.0,72.0,4.0,201.0,1.0,2.2,149.39999999999998,143
3D Reconstruction,201.0,large pose 3d face reconstruction from a single image via direct volumetric cnn regression,1.0,201.0,1.0,30.0,5.0,2.2,149.7,144
3D Reconstruction,201.0,deepdeform: learning non-rigid rgb-d reconstruction with semi-supervised data,1.0,73.0,4.0,201.0,1.0,2.2,149.8,145
3D Reconstruction,201.0,dense 3d object reconstruction from a single depth view,1.0,201.0,1.0,31.0,5.0,2.2,150.0,146
3D Reconstruction,201.0,deepdeform: learning non-rigid rgb-d reconstruction with semi-supervised data,1.0,74.0,4.0,201.0,1.0,2.2,150.2,147
3D Reconstruction,201.0,octree generating networks: efficient convolutional architectures for high-resolution 3d outputs,1.0,75.0,4.0,201.0,1.0,2.2,150.6,148
3D Reconstruction,201.0,dense semantic 3d reconstruction,1.0,201.0,1.0,34.0,5.0,2.2,150.89999999999998,149
3D Reconstruction,201.0,mine: towards continuous depth mpi with nerf for novel view synthesis,1.0,76.0,4.0,201.0,1.0,2.2,151.0,150
3D Reconstruction,201.0,track to reconstruct and reconstruct to track,1.0,77.0,4.0,201.0,1.0,2.2,151.39999999999998,151
3D Reconstruction,201.0,learning to parse wireframes in images of man-made environments,1.0,79.0,4.0,201.0,1.0,2.2,152.2,152
3D Reconstruction,201.0,learning efficient point cloud generation for dense 3d object reconstruction,1.0,201.0,1.0,39.0,5.0,2.2,152.39999999999998,153
3D Reconstruction,201.0,sg-nn: sparse generative neural networks for self-supervised scene completion of rgb-d scans,1.0,80.0,4.0,201.0,1.0,2.2,152.6,154
3D Reconstruction,201.0,weakly supervised generative adversarial networks for 3d reconstruction,1.0,201.0,1.0,40.0,5.0,2.2,152.7,155
3D Reconstruction,201.0,an effective loss function for generating 3d models from single 2d image without rendering,1.0,81.0,4.0,201.0,1.0,2.2,153.0,156
3D Reconstruction,201.0,robust point cloud based reconstruction of large-scale outdoor scenes,1.0,83.0,4.0,201.0,1.0,2.2,153.8,157
3D Reconstruction,201.0,self-supervised deep depth denoising,1.0,84.0,4.0,201.0,1.0,2.2,154.2,158
3D Reconstruction,201.0,semantic stereo for incidental satellite images,1.0,85.0,4.0,201.0,1.0,2.2,154.6,159
3D Reconstruction,201.0,single image 3d hand reconstruction with mesh convolutions,1.0,86.0,4.0,201.0,1.0,2.2,155.0,160
3D Reconstruction,201.0,octnetfusion: learning depth fusion from data,1.0,87.0,4.0,201.0,1.0,2.2,155.39999999999998,161
3D Reconstruction,201.0,deep depth from defocus: how can defocus blur improve 3d estimation using dense neural networks?,1.0,89.0,4.0,201.0,1.0,2.2,156.2,162
3D Reconstruction,201.0,sdf-srn: learning signed distance 3d object reconstruction from static images,1.0,90.0,4.0,201.0,1.0,2.2,156.6,163
3D Reconstruction,201.0,pq-net: a generative part seq2seq network for 3d shapes,1.0,91.0,4.0,201.0,1.0,2.2,157.0,164
3D Reconstruction,201.0,routedfusion: learning real-time depth map fusion,1.0,92.0,4.0,201.0,1.0,2.2,157.39999999999998,165
3D Reconstruction,201.0,hybrid coarse-fine classification for head pose estimation,1.0,93.0,4.0,201.0,1.0,2.2,157.8,166
3D Reconstruction,201.0,learning to detect 3d reflection symmetry for single-view reconstruction,1.0,95.0,4.0,201.0,1.0,2.2,158.6,167
3D Reconstruction,201.0,pu-gcn: point cloud upsampling using graph convolutional networks,1.0,96.0,4.0,201.0,1.0,2.2,159.0,168
3D Reconstruction,201.0,deep implicit moving least-squares functions for 3d reconstruction,1.0,97.0,4.0,201.0,1.0,2.2,159.39999999999998,169
3D Reconstruction,201.0,geonet++: iterative geometric neural network with edge-aware refinement for joint depth and surface normal estimation,1.0,98.0,4.0,201.0,1.0,2.2,159.8,170
3D Reconstruction,201.0,through the looking glass: neural 3d reconstruction of transparent shapes,1.0,99.0,4.0,201.0,1.0,2.2,160.2,171
3D Reconstruction,2.0,web-based 3d reconstruction service,5.0,201.0,1.0,201.0,1.0,2.1999999999999997,141.3,172
3D Reconstruction,3.0,real time localization and 3d reconstruction,5.0,201.0,1.0,201.0,1.0,2.1999999999999997,141.60000000000002,173
3D Reconstruction,6.0,detailed real-time urban 3d reconstruction from video,5.0,201.0,1.0,201.0,1.0,2.1999999999999997,142.5,174
3D Reconstruction,8.0,efficient 3d reconstruction for face recognition,5.0,201.0,1.0,201.0,1.0,2.1999999999999997,143.10000000000002,175
3D Reconstruction,12.0,3d-reconstruction of blood vessels by ultramicroscopy,5.0,201.0,1.0,201.0,1.0,2.1999999999999997,144.3,176
3D Reconstruction,15.0,procedural 3d reconstruction of puuc buildings in xkipché.,5.0,201.0,1.0,201.0,1.0,2.1999999999999997,145.2,177
3D Reconstruction,17.0,the effect of overabundant projection directions on 3d reconstruction algorithms,5.0,201.0,1.0,201.0,1.0,2.1999999999999997,145.8,178
3D Reconstruction,18.0,automatic 3d reconstruction: an exploration of the state of the art,5.0,201.0,1.0,201.0,1.0,2.1999999999999997,146.10000000000002,179
3D Reconstruction,104.0,detection and 3d reconstruction of traffic signs from multiple view color images,3.0,201.0,1.0,116.0,3.0,2.1999999999999997,146.4,180
3D Reconstruction,21.0,a review of techniques for 3d reconstruction of indoor environments,5.0,201.0,1.0,201.0,1.0,2.1999999999999997,147.0,181
3D Reconstruction,26.0,bundlefusion: real-time globally consistent 3d reconstruction using on-the-fly surface reintegration,5.0,201.0,1.0,201.0,1.0,2.1999999999999997,148.5,182
3D Reconstruction,102.0,pothole properties measurement through visual 2d recognition and 3d reconstruction,3.0,201.0,1.0,125.0,3.0,2.1999999999999997,148.5,183
3D Reconstruction,31.0,a dynamic bayesian network model for autonomous 3d reconstruction from a single indoor image,5.0,201.0,1.0,201.0,1.0,2.1999999999999997,150.0,184
3D Reconstruction,36.0,3d reconstruction and characterization of polycrystalline microstructures using a fib–sem system,5.0,201.0,1.0,201.0,1.0,2.1999999999999997,151.5,185
3D Reconstruction,38.0,"3d reconstruction methods, a survey",5.0,201.0,1.0,201.0,1.0,2.1999999999999997,152.10000000000002,186
3D Reconstruction,39.0,detailed 3d reconstruction of monuments using multiple techniques,5.0,201.0,1.0,201.0,1.0,2.1999999999999997,152.4,187
3D Reconstruction,40.0,advances in image pre-processing to improve automated 3d reconstruction.,5.0,201.0,1.0,201.0,1.0,2.1999999999999997,152.7,188
3D Reconstruction,130.0,characterisation of solid oxide fuel cell ni–8ysz substrate by synchrotron x-ray nano-tomography: from 3d reconstruction to microstructure quantification,3.0,201.0,1.0,118.0,3.0,2.1999999999999997,154.8,189
3D Reconstruction,176.0,3d reconstruction in laparoscopy with close-range photometric stereo,3.0,201.0,1.0,122.0,3.0,2.1999999999999997,169.79999999999998,190
3D Reconstruction,192.0,fusing multiview and photometric stereo for 3d reconstruction under uncalibrated illumination,3.0,201.0,1.0,143.0,3.0,2.1999999999999997,180.9,191
3D Reconstruction,41.0,dense 3d reconstruction method using a single pattern for fast moving object,4.0,201.0,1.0,201.0,1.0,1.9000000000000001,153.0,192
3D Reconstruction,42.0,evaluation of multi-view 3d reconstruction software,4.0,201.0,1.0,201.0,1.0,1.9000000000000001,153.3,193
3D Reconstruction,44.0,3d reconstruction of complex geological bodies: examples from the alps,4.0,201.0,1.0,201.0,1.0,1.9000000000000001,153.9,194
3D Reconstruction,45.0,complex non-rigid motion 3d reconstruction by union of subspaces,4.0,201.0,1.0,201.0,1.0,1.9000000000000001,154.2,195
3D Reconstruction,48.0,large-scale outdoor 3d reconstruction on a mobile device,4.0,201.0,1.0,201.0,1.0,1.9000000000000001,155.10000000000002,196
3D Reconstruction,49.0,automated multi-sensor 3d reconstruction for the web,4.0,201.0,1.0,201.0,1.0,1.9000000000000001,155.4,197
3D Reconstruction,50.0,reliability of 3d reconstruction of the spine of mild scoliotic patients,4.0,201.0,1.0,201.0,1.0,1.9000000000000001,155.7,198
