area,rank,title
Semantic segmentation,50,Fully Convolutional Networks for Semantic Segmentation
Semantic segmentation,51,FDA: Fourier Domain Adaptation for Semantic Segmentation
Semantic segmentation,52,Unsupervised Learning of Object Keypoints for Perception and Control
Semantic segmentation,53,Is Heuristic Sampling Necessary in Training Deep Object Detectors?
Semantic segmentation,54,Video-to-Video Synthesis
Semantic segmentation,55,Emerging Properties in Self-Supervised Vision Transformers
Semantic segmentation,56,Rethinking ImageNet Pre-training
Semantic segmentation,57,Learning Strict Identity Mappings in Deep Residual Networks
Semantic segmentation,58,Self-Supervised Learning with Swin Transformers
Semantic segmentation,59,High-Resolution Image Synthesis and Semantic Manipulation with Conditional GANs
Semantic segmentation,60,Micro-Batch Training with Batch-Channel Normalization and Weight Standardization
Semantic segmentation,61,U-Net: Convolutional Networks for Biomedical Image Segmentation
Semantic segmentation,62,Lite-HRNet: A Lightweight High-Resolution Network
Semantic segmentation,63,PaddleSeg: A High-Efficient Development Toolkit for Image Segmentation
Semantic segmentation,64,Attention-guided Context Feature Pyramid Network for Object Detection
Semantic segmentation,65,SOLOv2: Dynamic and Fast Instance Segmentation
Semantic segmentation,66,SOLO: Segmenting Objects by Locations
Semantic segmentation,67,HarDNet: A Low Memory Traffic Network
Semantic segmentation,68,High-Resolution Representations for Labeling Pixels and Regions
Semantic segmentation,69,FCOS: Fully Convolutional One-Stage Object Detection
Semantic segmentation,70,Microsoft COCO: Common Objects in Context
Semantic segmentation,71,Simple Training Strategies and Model Scaling for Object Detection
Semantic segmentation,72,Simple Copy-Paste is a Strong Data Augmentation Method for Instance Segmentation
Semantic segmentation,73,Rethinking Pre-training and Self-training
Semantic segmentation,74,"Fashionpedia: Ontology, Segmentation, and an Attribute Localization Dataset"
Semantic segmentation,75,ShapeMask: Learning to Segment Novel Objects by Refining Shape Priors
Semantic segmentation,76,Recalibrating Fully Convolutional Networks with Spatial and Channel 'Squeeze & Excitation' Blocks
Semantic segmentation,77,UNet++: A Nested U-Net Architecture for Medical Image Segmentation
Semantic segmentation,78,Unified Perceptual Parsing for Scene Understanding
Semantic segmentation,79,Semantic Understanding of Scenes through the ADE20K Dataset
Semantic segmentation,80,YOLACT++: Better Real-time Instance Segmentation
Semantic segmentation,81,Deformable Convolutional Networks
Semantic segmentation,82,LinkNet: Exploiting Encoder Representations for Efficient Semantic Segmentation
Semantic segmentation,83,PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation
Semantic segmentation,84,Learning to Refine Object Segments
Semantic segmentation,85,Tencent ML-Images: A Large-Scale Multi-Label Image Database for Visual Representation Learning
Semantic segmentation,86,Revisiting Unreasonable Effectiveness of Data in Deep Learning Era
Semantic segmentation,87,EdgeFlow: Achieving Practical Interactive Segmentation with Edge-Guided Flow
Semantic segmentation,88,Rethinking BiSeNet For Real-time Semantic Segmentation
Semantic segmentation,89,Rethinking Semantic Segmentation from a Sequence-to-Sequence Perspective with Transformers
Semantic segmentation,90,Improving Semantic Segmentation via Decoupled Body and Edge Supervision
Semantic segmentation,91,Disentangled Non-Local Neural Networks
Semantic segmentation,92,Hierarchical Multi-Scale Attention for Semantic Segmentation
Semantic segmentation,93,UNet 3+: A Full-Scale Connected UNet for Medical Image Segmentation
Semantic segmentation,94,BiSeNet V2: Bilateral Network with Guided Aggregation for Real-time Semantic Segmentation
Semantic segmentation,95,"Panoptic-DeepLab: A Simple, Strong, and Fast Baseline for Bottom-Up Panoptic Segmentation"
Semantic segmentation,96,Segmentation Transformer: Object-Contextual Representations for Semantic Segmentation
Semantic segmentation,97,Asymmetric Non-local Neural Networks for Semantic Segmentation
Semantic segmentation,98,Expectation-Maximization Attention Networks for Semantic Segmentation
Semantic segmentation,99,Interlaced Sparse Self-Attention for Semantic Segmentation
Semantic segmentation,100,Gated-SCNN: Gated Shape CNNs for Semantic Segmentation
Semantic segmentation,101,Fast-SCNN: Fast Semantic Segmentation Network
Semantic segmentation,102,Dual Attention Network for Scene Segmentation
Semantic segmentation,103,Attention U-Net: Learning Where to Look for the Pancreas
Semantic segmentation,104,PP-LCNet: A Lightweight CPU Convolutional Neural Network
Semantic segmentation,105,Beyond Self-Supervision: A Simple Yet Effective Network Distillation Alternative to Improve Backbones
Semantic segmentation,106,HS-ResNet: Hierarchical-Split Block on Convolutional Neural Network
Semantic segmentation,107,Rethinking Channel Dimensions for Efficient Model Design
Semantic segmentation,108,GridMask Data Augmentation
Semantic segmentation,109,Hide-and-Seek: A Data Augmentation Technique for Weakly-Supervised Localization and Beyond
Semantic segmentation,110,CCNet: Criss-Cross Attention for Semantic Segmentation
Semantic segmentation,111,OCNet: Object Context Network for Scene Parsing
Semantic segmentation,112,PSANet: Point-wise Spatial Attention Network for Scene Parsing
Semantic segmentation,113,Context Encoding for Semantic Segmentation
Semantic segmentation,114,Efficient Attention: Attention with Linear Complexities
Semantic segmentation,115,Recovering Realistic Texture in Image Super-resolution by Deep Spatial Feature Transform
Semantic segmentation,116,BoxInst: High-Performance Instance Segmentation with Box Annotations
Semantic segmentation,117,Mask Encoding for Single Shot Instance Segmentation
Semantic segmentation,118,Conditional Convolutions for Instance Segmentation
Semantic segmentation,119,BlendMask: Top-Down Meets Bottom-Up for Instance Segmentation
Semantic segmentation,120,Segmentation Loss Odyssey
Semantic segmentation,121,UNETR: Transformers for 3D Medical Image Segmentation
Semantic segmentation,122,Contextual Transformer Networks for Visual Recognition
Semantic segmentation,123,EPSANet: An Efficient Pyramid Squeeze Attention Block on Convolutional Neural Network
Semantic segmentation,124,Beyond Self-attention: External Attention using Two Linear Layers for Visual Tasks
Semantic segmentation,125,RepMLP: Re-parameterizing Convolutions into Fully-connected Layers for Image Recognition
Semantic segmentation,126,SA-Net: Shuffle Attention for Deep Convolutional Neural Networks
Semantic segmentation,127,SEN12MS -- A Curated Dataset of Georeferenced Multi-Spectral Sentinel-1/2 Imagery for Deep Learning and Data Fusion
Semantic segmentation,128,Improving Convolutional Networks With Self-Calibrated Convolutions
Semantic segmentation,129,SINet: Extreme Lightweight Portrait Segmentation Networks with Spatial Squeeze Modules and Information Blocking Decoder
Semantic segmentation,130,Feature Pyramid Encoding Network for Real-time Semantic Segmentation
Semantic segmentation,131,DABNet: Depth-wise Asymmetric Bottleneck for Real-time Semantic Segmentation
Semantic segmentation,132,ESNet: An Efficient Symmetric Network for Real-time Semantic Segmentation
Semantic segmentation,133,DiCENet: Dimension-wise Convolutions for Efficient Networks
Semantic segmentation,134,LEDNet: A Lightweight Encoder-Decoder Network for Real-Time Semantic Segmentation
Semantic segmentation,135,An Energy and GPU-Computation Efficient Backbone Network for Real-Time Object Detection
Semantic segmentation,136,"ESPNetv2: A Light-weight, Power Efficient, and General Purpose Convolutional Neural Network"
Semantic segmentation,137,CGNet: A Light-weight Context Guided Network for Semantic Segmentation
Semantic segmentation,138,Efficient Dense Modules of Asymmetric Convolution for Real-Time Semantic Segmentation
Semantic segmentation,139,BiSeNet: Bilateral Segmentation Network for Real-time Semantic Segmentation
Semantic segmentation,140,ContextNet: Exploring Context and Detail for Semantic Segmentation in Real-time
Semantic segmentation,141,ERFNet: Efficient Residual Factorized ConvNet for Real-time Semantic Segmentation
Semantic segmentation,142,Dilated Residual Networks
Semantic segmentation,143,ICNet for Real-Time Semantic Segmentation on High-Resolution Images
Semantic segmentation,144,ENet: A Deep Neural Network Architecture for Real-Time Semantic Segmentation
Semantic segmentation,145,SegNet: A Deep Convolutional Encoder-Decoder Architecture for Image Segmentation
Semantic segmentation,146,Fully Convolutional Instance-aware Semantic Segmentation
Semantic segmentation,147,Rich feature hierarchies for accurate object detection and semantic segmentation
Semantic segmentation,148,PointNet++: Deep Hierarchical Feature Learning on Point Sets in a Metric Space
Semantic segmentation,149,Automated Design of Deep Learning Methods for Biomedical Image Segmentation
Semantic segmentation,150,COCO-Stuff: Thing and Stuff Classes in Context
Semantic segmentation,151,Co-Occurrent Features in Semantic Segmentation
Semantic segmentation,152,Generating Masks from Boxes by Mining Spatio-Temporal Consistencies in Videos
Semantic segmentation,153,Learning What to Learn for Video Object Segmentation
Semantic segmentation,154,Towards End-to-End Lane Detection: an Instance Segmentation Approach
Semantic segmentation,155,"DeepFashion2: A Versatile Benchmark for Detection, Pose Estimation, Segmentation and Re-Identification of Clothing Images"
Semantic segmentation,156,Recurrent Residual Convolutional Neural Network based on U-Net (R2U-Net) for Medical Image Segmentation
Semantic segmentation,157,Temporal RoI Align for Video Object Recognition
Semantic segmentation,158,Polarized Self-Attention: Towards High-quality Pixel-wise Regression
Semantic segmentation,159,VOLO: Vision Outlooker for Visual Recognition
Semantic segmentation,160,3D Semantic Segmentation with Submanifold Sparse Convolutional Networks
Semantic segmentation,161,UNet++: Redesigning Skip Connections to Exploit Multiscale Features in Image Segmentation
Semantic segmentation,162,ChainerCV: a Library for Deep Learning in Computer Vision
Semantic segmentation,163,Atlas: End-to-End 3D Scene Reconstruction from Posed Images
Semantic segmentation,164,What Makes for Good Views for Contrastive Learning?
Semantic segmentation,165,Improving Semantic Segmentation via Video Propagation and Label Relaxation
Semantic segmentation,166,4D Spatio-Temporal ConvNets: Minkowski Convolutional Neural Networks
Semantic segmentation,167,Rethinking Self-supervised Correspondence Learning: A Video Frame-level Similarity Perspective
Semantic segmentation,168,Learning a Discriminative Feature Network for Semantic Segmentation
Semantic segmentation,169,Conditional Random Fields as Recurrent Neural Networks
Semantic segmentation,170,Understanding Humans in Crowded Scenes: Deep Nested Adversarial Learning and A New Benchmark for Multi-Human Parsing
Semantic segmentation,171,Pose2Seg: Detection Free Human Instance Segmentation
Semantic segmentation,172,DLTK: State of the Art Reference Implementations for Deep Learning on Medical Images
Semantic segmentation,173,The Lovász-Softmax loss: A tractable surrogate for the optimization of the intersection-over-union measure in neural networks
Semantic segmentation,174,Optimal Transport for Multi-source Domain Adaptation under Target Shift
Semantic segmentation,175,PartNet: A Large-scale Benchmark for Fine-grained and Hierarchical Part-level 3D Object Understanding
Semantic segmentation,176,PointCNN: Convolution On X-Transformed Points
Semantic segmentation,177,In-Place Activated BatchNorm for Memory-Optimized Training of DNNs
Semantic segmentation,178,Autonomous Driving in Reality with Reinforcement Learning and Image Translation
Semantic segmentation,179,Deep clustering: Discriminative embeddings for segmentation and separation
Semantic segmentation,180,Vision Transformers for Dense Prediction
Semantic segmentation,181,Hypersim: A Photorealistic Synthetic Dataset for Holistic Indoor Scene Understanding
Semantic segmentation,182,Panoptic nuScenes: A Large-Scale Benchmark for LiDAR Panoptic Segmentation and Tracking
Semantic segmentation,183,ADVENT: Adversarial Entropy Minimization for Domain Adaptation in Semantic Segmentation
Semantic segmentation,184,Maximum Classifier Discrepancy for Unsupervised Domain Adaptation
Semantic segmentation,185,CyCADA: Cycle-Consistent Adversarial Domain Adaptation
Semantic segmentation,186,Boundary-Aware Segmentation Network for Mobile and Web Applications
Semantic segmentation,187,Bayesian SegNet: Model Uncertainty in Deep Convolutional Encoder-Decoder Architectures for Scene Understanding
Semantic segmentation,188,Retina U-Net: Embarrassingly Simple Exploitation of Segmentation Supervision for Medical Object Detection
Semantic segmentation,189,Dynamic Graph CNN for Learning on Point Clouds
Semantic segmentation,190,Partial Convolution based Padding
Semantic segmentation,191,TernausNet: U-Net with VGG11 Encoder Pre-Trained on ImageNet for Image Segmentation
Semantic segmentation,192,Cascade R-CNN: High Quality Object Detection and Instance Segmentation
Semantic segmentation,193,Deep Snake for Real-Time Instance Segmentation
Semantic segmentation,194,Global Context for Convolutional Pose Machines
Semantic segmentation,195,GIMP-ML: Python Plugins for using Computer Vision Models in GIMP
Semantic segmentation,196,BlenderProc
Semantic segmentation,197,Pyramid Vision Transformer: A Versatile Backbone for Dense Prediction without Convolutions
Semantic segmentation,198,YolactEdge: Real-time Instance Segmentation on the Edge
Semantic segmentation,199,Enforcing temporal consistency in Deep Learning segmentation of brain MR images
Semantic segmentation,200,Large Kernel Matters -- Improve Semantic Segmentation by Global Convolutional Network
Image classification,1,MobileNets: Efficient Convolutional Neural Networks for Mobile Vision Applications
Image classification,2,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale
Image classification,3,A Simple Framework for Contrastive Learning of Visual Representations
Image classification,4,Searching for MobileNetV3
Image classification,5,AutoAugment: Learning Augmentation Policies from Data
Image classification,6,Encoder-Decoder with Atrous Separable Convolution for Semantic Image Segmentation
Image classification,7,MobileNetV2: Inverted Residuals and Linear Bottlenecks
Image classification,8,Progressive Neural Architecture Search
Image classification,9,Learning Transferable Architectures for Scalable Image Recognition
Image classification,10,Pyramid Scene Parsing Network
Image classification,11,Xception: Deep Learning with Depthwise Separable Convolutions
Image classification,12,Wide Residual Networks
Image classification,13,Identity Mappings in Deep Residual Networks
Image classification,14,"Inception-v4, Inception-ResNet and the Impact of Residual Connections on Learning"
Image classification,15,Deep Residual Learning for Image Recognition
Image classification,16,Rethinking the Inception Architecture for Computer Vision
Image classification,17,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift
Image classification,18,Going Deeper with Convolutions
Image classification,19,Very Deep Convolutional Networks for Large-Scale Image Recognition
Image classification,20,"VATT: Transformers for Multimodal Self-Supervised Learning from Raw Video, Audio and Text"
Image classification,21,Auto-DeepLab: Hierarchical Neural Architecture Search for Semantic Image Segmentation
Image classification,22,Searching for Efficient Multi-Scale Architectures for Dense Image Prediction
Image classification,23,The iNaturalist Species Classification and Detection Dataset
Image classification,24,Learning to Remember Rare Events
Image classification,25,Neural Architecture Search with Reinforcement Learning
Image classification,26,SpineNet: Learning Scale-Permuted Backbone for Recognition and Localization
Image classification,27,BEiT: BERT Pre-Training of Image Transformers
Image classification,28,Training data-efficient image transformers & distillation through attention
Image classification,29,LayoutLM: Pre-training of Text and Layout for Document Image Understanding
Image classification,30,Extreme Memorization via Scale of Initialization
Image classification,31,Scalable Second Order Optimization for Deep Learning
Image classification,32,Beyond Synthetic Noise: Deep Learning on Controlled Noisy Labels
Image classification,33,Dataset Distillation with Infinitely Wide Convolutional Networks
Image classification,34,AutoDropout: Learning Dropout Patterns to Regularize Deep Networks
Image classification,35,Can weight sharing outperform random architecture search? An investigation with TuNAS
Image classification,36,Milking CowMask for Semi-Supervised Image Classification
Image classification,37,Meta Pseudo Labels
Image classification,38,Distilling Effective Supervision from Severe Label Noise
Image classification,39,Saccader: Improving Accuracy of Hard Attention Models for Vision
Image classification,40,A Benchmark for Interpretability Methods in Deep Neural Networks
Image classification,41,Meta-Learning without Memorization
Image classification,42,DARTS: Differentiable Architecture Search
Image classification,43,Supervised Contrastive Learning
Image classification,44,CSPNet: A New Backbone that can Enhance Learning Capability of CNN
Image classification,45,ResNeSt: Split-Attention Networks
Image classification,46,Designing Network Design Spaces
Image classification,47,A Framework For Contrastive Self-Supervised Learning And Designing A New Approach
Image classification,48,Transformer in Transformer
Image classification,49,ResNet strikes back: An improved training procedure in timm
Image classification,50,"How to train your ViT? Data, Augmentation, and Regularization in Vision Transformers"
Image classification,51,XCiT: Cross-Covariance Image Transformers
Image classification,52,Aggregating Nested Transformers
Image classification,53,Pay Attention to MLPs
Image classification,54,ResMLP: Feedforward networks for image classification with data-efficient training
Image classification,55,MLP-Mixer: An all-MLP Architecture for Vision
Image classification,56,Twins: Revisiting the Design of Spatial Attention in Vision Transformers
Image classification,57,Visformer: The Vision-friendly Transformer
Image classification,58,LeViT: a Vision Transformer in ConvNet's Clothing for Faster Inference
Image classification,59,EfficientNetV2: Smaller Models and Faster Training
Image classification,60,Going deeper with Image Transformers
Image classification,61,Rethinking Spatial Dimensions of Vision Transformers
Image classification,62,CrossViT: Cross-Attention Multi-Scale Vision Transformer for Image Classification
Image classification,63,Swin Transformer: Hierarchical Vision Transformer using Shifted Windows
Image classification,64,Scaling Local Self-Attention for Parameter Efficient Visual Backbones
Image classification,65,ConViT: Improving Vision Transformers with Soft Convolutional Inductive Biases
Image classification,66,Revisiting ResNets: Improved Training and Scaling Strategies
Image classification,67,LambdaNetworks: Modeling Long-Range Interactions Without Attention
Image classification,68,High-Performance Large-Scale Image Recognition Without Normalization
Image classification,69,Bottleneck Transformers for Visual Recognition
Image classification,70,RepVGG: Making VGG-style ConvNets Great Again
Image classification,71,AdamP: Slowing Down the Slowdown for Momentum Optimizers on Scale-invariant Weights
Image classification,72,Non-Local Neural Networks With Grouped Bilinear Attentional Transforms
Image classification,73,Evolving Normalization-Activation Layers
Image classification,74,TResNet: High Performance GPU-Dedicated Architecture
Image classification,75,AugMix: A Simple Data Processing Method to Improve Robustness and Uncertainty
Image classification,76,GhostNet: More Features from Cheap Operations
Image classification,77,Adversarial Examples Improve Image Recognition
Image classification,78,ECA-Net: Efficient Channel Attention for Deep Convolutional Neural Networks
Image classification,79,RandAugment: Practical automated data augmentation with a reduced search space
Image classification,80,MixConv: Mixed Depthwise Convolutional Kernels
Image classification,81,"Lookahead Optimizer: k steps forward, 1 step back"
Image classification,82,EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks
Image classification,83,CutMix: Regularization Strategy to Train Strong Classifiers with Localizable Features
Image classification,84,Making Convolutional Networks Shift-Invariant Again
Image classification,85,Res2Net: A New Multi-scale Backbone Architecture
Image classification,86,Selective Kernel Networks
Image classification,87,Bag of Tricks for Image Classification with Convolutional Neural Networks
Image classification,88,DropBlock: A regularization method for convolutional networks
Image classification,89,mixup: Beyond Empirical Risk Minimization
Image classification,90,Random Erasing Data Augmentation
Image classification,91,Dual Path Networks
Image classification,92,Deep Networks with Stochastic Depth
Image classification,93,One Model To Learn Them All
Image classification,94,Semi-Supervised Learning with Context-Conditional Generative Adversarial Networks
Image classification,95,ShuffleNet V2: Practical Guidelines for Efficient CNN Architecture Design
Image classification,96,Aggregated Residual Transformations for Deep Neural Networks
Image classification,97,Densely Connected Convolutional Networks
Image classification,98,SqueezeNet: AlexNet-level accuracy with 50x fewer parameters and <0.5MB model size
Image classification,99,"""Why Should I Trust You?"": Explaining the Predictions of Any Classifier"
Image classification,100,Bootstrap your own latent: A new approach to self-supervised Learning
Image classification,101,Unsupervised Learning of Object Keypoints for Perception and Control
Image classification,102,Transfer Learning with Dynamic Distribution Adaptation
Image classification,103,Ludwig: a type-based declarative deep learning toolbox
Image classification,104,Escaping the Big Data Paradigm with Compact Transformers
Image classification,105,CvT: Introducing Convolutions to Vision Transformers
Image classification,106,DeepViT: Towards Deeper Vision Transformer
Image classification,107,Tokens-to-Token ViT: Training Vision Transformers from Scratch on ImageNet
Image classification,108,Squeeze-and-Excitation Networks
Image classification,109,ShuffleNet: An Extremely Efficient Convolutional Neural Network for Mobile Devices
Image classification,110,Patches Are All You Need?
Image classification,111,AdaBelief Optimizer: Adapting Stepsizes by the Belief in Observed Gradients
Image classification,112,On the Variance of the Adaptive Learning Rate and Beyond
Image classification,113,Micro-Batch Training with Batch-Channel Normalization and Weight Standardization
Image classification,114,Dynamic Routing Between Capsules
Image classification,115,Towards Deep Learning Models Resistant to Adversarial Attacks
Image classification,116,Explaining and Harnessing Adversarial Examples
Image classification,117,"MobileViT: Light-weight, General-purpose, and Mobile-friendly Vision Transformer"
Image classification,118,Local Patch AutoAugment with Multi-Agent Collaboration
Image classification,119,U$^2$-Net: Going Deeper with Nested U-Structure for Salient Object Detection
Image classification,120,Bag of Freebies for Training Object Detection Neural Networks
Image classification,121,Self-training with Noisy Student improves ImageNet classification
Image classification,122,Learning Data Augmentation Strategies for Object Detection
Image classification,123,CondConv: Conditionally Parameterized Convolutions for Efficient Inference
Image classification,124,MnasNet: Platform-Aware Neural Architecture Search for Mobile
Image classification,125,Regularized Evolution for Image Classifier Architecture Search
Image classification,126,Activation Atlas
Image classification,127,Recalibrating Fully Convolutional Networks with Spatial and Channel 'Squeeze & Excitation' Blocks
Image classification,128,Multiscale Vision Transformers
Image classification,129,X3D: Expanding Architectures for Efficient Video Recognition
Image classification,130,Regularization of Neural Networks using DropConnect
Image classification,131,When Vision Transformers Outperform ResNets without Pre-training or Strong Data Augmentations
Image classification,132,Document Image Classification with Intra-Domain Transfer Learning and Stacked Generalization of Deep Convolutional Neural Networks
Image classification,133,Cutting the Error by Half: Investigation of Very Deep CNN and Advanced Training Strategies for Document Image Classification
Image classification,134,Improving Neural Architecture Search Image Classifiers via Ensemble Learning
Image classification,135,Deep Transfer Learning for Person Re-identification
Image classification,136,Tencent ML-Images: A Large-Scale Multi-Label Image Database for Visual Representation Learning
Image classification,137,Revisiting Unreasonable Effectiveness of Data in Deep Learning Era
Image classification,138,Rethinking BiSeNet For Real-time Semantic Segmentation
Image classification,139,PP-LCNet: A Lightweight CPU Convolutional Neural Network
Image classification,140,Involution: Inverting the Inherence of Convolution for Visual Recognition
Image classification,141,HS-ResNet: Hierarchical-Split Block on Convolutional Neural Network
Image classification,142,Semi-Supervised Recognition under a Noisy and Fine-grained Dataset
Image classification,143,FMix: Enhancing Mixed Sample Data Augmentation
Image classification,144,Hide-and-Seek: A Data Augmentation Technique for Weakly-Supervised Localization and Beyond
Image classification,145,Exploring the Limits of Weakly Supervised Pretraining
Image classification,146,Improved Regularization of Convolutional Neural Networks with Cutout
Image classification,147,Xception: Deep Learning With Depthwise Separable Convolutions
Image classification,148,ImageNet Classification with Deep Convolutional Neural Networks
Image classification,149,Improved Baselines with Momentum Contrastive Learning
Image classification,150,"OverFeat: Integrated Recognition, Localization and Detection using Convolutional Networks"
Image classification,151,Context Encoding for Semantic Segmentation
Image classification,152,Efficient Attention: Attention with Linear Complexities
Image classification,153,"Model Rubik’s Cube: Twisting Resolution, Depth and Width for TinyNets"
Image classification,154,EPSANet: An Efficient Pyramid Squeeze Attention Block on Convolutional Neural Network
Image classification,155,ResT: An Efficient Transformer for Visual Recognition
Image classification,156,Beyond Self-attention: External Attention using Two Linear Layers for Visual Tasks
Image classification,157,RepMLP: Re-parameterizing Convolutions into Fully-connected Layers for Image Recognition
Image classification,158,Dynamic Convolution: Attention over Convolution Kernels
Image classification,159,CBAM: Convolutional Block Attention Module
Image classification,160,CoAtNet: Marrying Convolution and Attention for All Data Sizes
Image classification,161,Co-teaching: Robust Training of Deep Neural Networks with Extremely Noisy Labels
Image classification,162,DiCENet: Dimension-wise Convolutions for Efficient Networks
Image classification,163,DIANet: Dense-and-Implicit Attention Network
Image classification,164,Drop an Octave: Reducing Spatial Redundancy in Convolutional Neural Networks with Octave Convolution
Image classification,165,Single-Path NAS: Designing Hardware-Efficient ConvNets in less than 4 Hours
Image classification,166,"FishNet: A Versatile Backbone for Image, Region, and Pixel Level Prediction"
Image classification,167,ProxylessNAS: Direct Neural Architecture Search on Target Task and Hardware
Image classification,168,"ESPNetv2: A Light-weight, Power Efficient, and General Purpose Convolutional Neural Network"
Image classification,169,IGCV3: Interleaved Low-Rank Group Convolutions for Efficient Deep Neural Networks
Image classification,170,Towards Faster Training of Global Covariance Pooling Networks by Iterative Matrix Square Root Normalization
Image classification,171,The Reversible Residual Network: Backpropagation Without Storing Activations
Image classification,172,DiracNets: Training Very Deep Neural Networks Without Skip-Connections
Image classification,173,Dilated Residual Networks
Image classification,174,Multi-Scale Dense Networks for Resource Efficient Image Classification
Image classification,175,ShaResNet: reducing residual network parameter number by sharing weights
Image classification,176,PolyNet: A Pursuit of Structural Diversity in Very Deep Networks
Image classification,177,Deep Pyramidal Residual Networks
Image classification,178,Residual Networks of Residual Networks: Multilevel Residual Networks
Image classification,179,FractalNet: Ultra-Deep Neural Networks without Residuals
Image classification,180,Visualizing and Understanding Convolutional Networks
Image classification,181,GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism
Image classification,182,Barlow Twins: Self-Supervised Learning via Redundancy Reduction
Image classification,183,Self-supervised Pretraining of Visual Features in the Wild
Image classification,184,Unsupervised Learning of Visual Features by Contrasting Cluster Assignments
Image classification,185,ClusterFit: Improving Generalization of Visual Representations
Image classification,186,A Large-scale Study of Representation Learning with the Visual Task Adaptation Benchmark
Image classification,187,Some Improvements on Deep Convolutional Neural Network Based Image Classification
Image classification,188,Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks
Image classification,189,Unsupervised Data Augmentation for Consistency Training
Image classification,190,Exploring Randomly Wired Neural Networks for Image Recognition
Image classification,191,"Model Rubik's Cube: Twisting Resolution, Depth and Width for TinyNets"
